team,wins,losses,status,source
B8,3,0,advanced,esportsgg+hltv_major
BetBoom,3,0,advanced,esportsgg+hltv_major
GamerLegion,3,1,advanced,esportsgg+hltv_major
M80,3,1,advanced,esportsgg+hltv_major
MIBR,3,1,advanced,esportsgg+hltv_major
BIG,2,2,alive,esportsgg+hltv_major
FlyQuest,2,2,alive,esportsgg+hltv_major
Liquid,2,2,alive,esportsgg+hltv_major
Lynn Vision,2,2,alive,esportsgg+hltv_major
NRG,2,2,alive,esportsgg+hltv_major
TYLOO,2,2,alive,esportsgg+hltv_major
HEROIC,1,3,eliminated,esportsgg+hltv_major
Sharks,1,3,eliminated,esportsgg+hltv_major
THUNDER dOWNUNDER,1,3,eliminated,esportsgg+hltv_major
Gaimin Gladiators,0,3,eliminated,esportsgg+hltv_major
SINNERS,0,3,eliminated,esportsgg+hltv_major
