date,event,event_tier,status,swiss_round,team1,team2,best_of,map,note,source,team1_wins,team1_losses,team1_record,team1_record_status,team2_wins,team2_losses,team2_record,team2_record_status,standings_source,swiss_match_type
2026-06-05,IEM Cologne Major 2026 Stage 1,S,scheduled,5,TYLOO,Lynn Vision,3,unknown,2-2 decider; winner advances and loser is eliminated; 14:00 CEST,esportsgg+bo3gg+hltv_major,2,2,2-2,alive,2,2,2-2,alive,esportsgg+hltv_major,advancement
2026-06-05,IEM Cologne Major 2026 Stage 1,S,scheduled,5,Liquid,FlyQuest,3,unknown,2-2 decider; winner advances and loser is eliminated; 17:00 CEST,esportsgg+bo3gg+hltv_major,2,2,2-2,alive,2,2,2-2,alive,esportsgg+hltv_major,advancement
2026-06-05,IEM Cologne Major 2026 Stage 1,S,scheduled,5,NRG,BIG,3,unknown,2-2 decider; winner advances and loser is eliminated; 20:00 CEST,esportsgg+bo3gg+hltv_major,2,2,2-2,alive,2,2,2-2,alive,esportsgg+hltv_major,advancement
